time	V(n005)
Step Information: X=0  (Step: 1/1001)
0.000000000000000e+00	1.001582e+00
4.897752594488885e-04	1.001582e+00
5.000000000000000e-04	1.001582e+00
Step Information: X=1  (Step: 2/1001)
0.000000000000000e+00	9.842976e-01
4.892869781988886e-04	9.842976e-01
5.000000000000000e-04	9.842976e-01
Step Information: X=2  (Step: 3/1001)
0.000000000000000e+00	1.000902e+00
4.892869781988886e-04	1.000902e+00
5.000000000000000e-04	1.000902e+00
Step Information: X=3  (Step: 4/1001)
0.000000000000000e+00	9.947528e-01
4.892869781988886e-04	9.947528e-01
5.000000000000000e-04	9.947528e-01
Step Information: X=4  (Step: 5/1001)
0.000000000000000e+00	1.013625e+00
4.892869781988886e-04	1.013625e+00
5.000000000000000e-04	1.013625e+00
Step Information: X=5  (Step: 6/1001)
0.000000000000000e+00	1.014818e+00
4.892869781988886e-04	1.014818e+00
5.000000000000000e-04	1.014818e+00
Step Information: X=6  (Step: 7/1001)
0.000000000000000e+00	9.925334e-01
4.892869781988886e-04	9.925334e-01
5.000000000000000e-04	9.925334e-01
Step Information: X=7  (Step: 8/1001)
0.000000000000000e+00	9.967836e-01
4.892869781988886e-04	9.967836e-01
5.000000000000000e-04	9.967836e-01
Step Information: X=8  (Step: 9/1001)
0.000000000000000e+00	9.947414e-01
4.892869781988886e-04	9.947414e-01
5.000000000000000e-04	9.947414e-01
Step Information: X=9  (Step: 10/1001)
0.000000000000000e+00	9.941440e-01
4.892869781988886e-04	9.941440e-01
5.000000000000000e-04	9.941440e-01
Step Information: X=10  (Step: 11/1001)
0.000000000000000e+00	1.013261e+00
4.892869781988886e-04	1.013261e+00
5.000000000000000e-04	1.013261e+00
Step Information: X=11  (Step: 12/1001)
0.000000000000000e+00	9.982133e-01
4.892869781988886e-04	9.982133e-01
5.000000000000000e-04	9.982133e-01
Step Information: X=12  (Step: 13/1001)
0.000000000000000e+00	1.001833e+00
4.892869781988886e-04	1.001833e+00
5.000000000000000e-04	1.001833e+00
Step Information: X=13  (Step: 14/1001)
0.000000000000000e+00	9.993314e-01
4.892869781988886e-04	9.993314e-01
5.000000000000000e-04	9.993314e-01
Step Information: X=14  (Step: 15/1001)
0.000000000000000e+00	9.799884e-01
4.892869781988886e-04	9.799884e-01
5.000000000000000e-04	9.799884e-01
Step Information: X=15  (Step: 16/1001)
0.000000000000000e+00	1.002432e+00
4.892869781988886e-04	1.002432e+00
5.000000000000000e-04	1.002432e+00
Step Information: X=16  (Step: 17/1001)
0.000000000000000e+00	1.016619e+00
4.892869781988886e-04	1.016619e+00
5.000000000000000e-04	1.016619e+00
Step Information: X=17  (Step: 18/1001)
0.000000000000000e+00	1.000611e+00
4.892869781988886e-04	1.000611e+00
5.000000000000000e-04	1.000611e+00
Step Information: X=18  (Step: 19/1001)
0.000000000000000e+00	1.005028e+00
4.892869781988886e-04	1.005028e+00
5.000000000000000e-04	1.005028e+00
Step Information: X=19  (Step: 20/1001)
0.000000000000000e+00	1.007453e+00
4.892869781988886e-04	1.007453e+00
5.000000000000000e-04	1.007453e+00
Step Information: X=20  (Step: 21/1001)
0.000000000000000e+00	1.009519e+00
4.892869781988886e-04	1.009519e+00
5.000000000000000e-04	1.009519e+00
Step Information: X=21  (Step: 22/1001)
0.000000000000000e+00	9.861553e-01
4.892869781988886e-04	9.861553e-01
5.000000000000000e-04	9.861553e-01
Step Information: X=22  (Step: 23/1001)
0.000000000000000e+00	9.968980e-01
4.892869781988886e-04	9.968980e-01
5.000000000000000e-04	9.968980e-01
Step Information: X=23  (Step: 24/1001)
0.000000000000000e+00	9.972132e-01
4.892869781988886e-04	9.972132e-01
5.000000000000000e-04	9.972132e-01
Step Information: X=24  (Step: 25/1001)
0.000000000000000e+00	1.002010e+00
4.892869781988886e-04	1.002010e+00
5.000000000000000e-04	1.002010e+00
Step Information: X=25  (Step: 26/1001)
0.000000000000000e+00	1.009302e+00
